Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
1156;PL-2013-008419;2019-09-29;krytyczny;37;lotniczy ekspresowy;ma³e pude³ko;ma³a firma;K02498;artyku³y biurowe;papier;Xerox 1936;2508.485;69.93;0.07;0.38;20.895;246.365
1157;PL-2013-008419;2019-09-29;krytyczny;47;lotniczy standardowy;ma³e pude³ko;ma³a firma;K02498;artyku³y biurowe;papier;Xerox 214;1045.94;22.68;0.1;0.37;24.605;-303.17
1244;PL-2013-009062;2019-03-20;wysoki;36;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K01193;artyku³y biurowe;spinacze i zszywki;Staples Vinyl Coated Paper Clips;469.35;13.755;0.06;0.39;3.465;107.135
1245;PL-2013-009062;2019-03-20;wysoki;21;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K01193;meble;wyposa¿enie wnêtrza;"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box";7061.495;347.305;0.06;0.35;31.465;4176.165
1282;PL-2013-009344;2019-12-06;niski;36;lotniczy standardowy;du¿e pude³ko;osoba fizyczna;K00699;artyku³y biurowe;teczki;Safco Industrial Wire Shelving;12131.7;335.965;0.09;NA;122.5;-1769.915
1283;PL-2013-009344;2019-12-06;niski;62;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K00699;urz¹dzenia techniczne;telefony;SC7868i;24140.515;440.965;0.02;0.55;31.465;3151.449
132;PL-2013-000835;2019-10-07;nieokreœlony;35;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01106;artyku³y biurowe;papier;Xerox 23;851.795;22.68;0.02;0.37;17.99;-98.616
1512;PL-2013-010944;2019-11-12;wysoki;31;lotniczy standardowy;œrednie pude³ko;ma³a firma;K02382;urz¹dzenia techniczne;urz¹dzenia biurowe;Canon P1-DHIII Palm Printing Calculator;2190.02;62.93;0;0.4;29.785;-96.1611
1579;PL-2013-011425;2019-06-22;krytyczny;48;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02571;artyku³y biurowe;teczki;Tenex Personal Self-Stacking Standard File Box, Black/Gray;2797.55;59.185;0.1;0.58;21.875;-58.065
1580;PL-2013-011425;2019-06-22;krytyczny;38;lotniczy ekspresowy;ma³e pude³ko;osoba fizyczna;K02571;urz¹dzenia techniczne;telefony;CF 688;17172.26;545.965;0.04;0.58;31.465;1342.089
1606;PL-2013-011651;2019-02-22;œredni;21;lotniczy ekspresowy;woreczek foliowy;ma³a firma;K01228;artyku³y biurowe;akcesoria piœmiennicze;Newell 329;254.73;11.48;0.07;0.59;3.43;13.65
1645;PL-2013-011876;2019-07-03;wysoki;63;lotniczy standardowy;œrednie pude³ko;biuro w domu;K01745;meble;wyposa¿enie wnêtrza;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";23700.88;376.355;0.02;0.65;20.335;4007.2298
1659;PL-2013-011968;2019-03-16;niski;35;lotniczy standardowy;woreczek foliowy;korporacja;K00698;artyku³y biurowe;akcesoria piœmiennicze;Avery Hi-Liter® Fluorescent Desk Style Markers;432.67;11.83;0.04;0.48;2.975;91.315
1713;PL-2013-012320;2019-12-20;krytyczny;70;l¹dowy;wielkie pud³o;korporacja;K03289;meble;sto³y;Anderson Hickey Conga Table Tops & Accessories;3774.47;53.305;0.05;0.76;97.125;40.778325
1795;PL-2013-012868;2019-03-01;krytyczny;35;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02403;artyku³y biurowe;akcesoria piœmiennicze;Newell 310;210.735;6.16;0.09;0.56;2.45;-8.54
1796;PL-2013-012868;2019-03-01;krytyczny;2;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02403;artyku³y biurowe;papier;Spiral Phone Message Books with Labels by Adams;32.795;15.68;0.09;0.36;4.27;-18.41
